"filename", "language", "JavaScript", "Django HTML", "PHP", "CSS", "SCSS", "JSON", "vue", "Markdown", "XML", "Django txt", "YAML", "comment", "blank", "total"
"c:\laragon\www\bazrasi\.gitbook.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\laragon\www\bazrasi\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\laragon\www\bazrasi\app\Activity.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 28, 6, 53
"c:\laragon\www\bazrasi\app\Console\Kernel.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 43
"c:\laragon\www\bazrasi\app\CustomField.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 33, 12, 80
"c:\laragon\www\bazrasi\app\DataTables\CustomFieldDataTable.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 87
"c:\laragon\www\bazrasi\app\DataTables\FileTypeDataTable.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 88
"c:\laragon\www\bazrasi\app\DataTables\SettingDataTable.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 84
"c:\laragon\www\bazrasi\app\DataTables\TagDataTable.php", "PHP", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 94
"c:\laragon\www\bazrasi\app\DataTables\UserDataTable.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 27, 8, 91
"c:\laragon\www\bazrasi\app\Document.php", "PHP", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 56, 15, 140
"c:\laragon\www\bazrasi\app\Exceptions\Handler.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 52
"c:\laragon\www\bazrasi\app\File.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 55, 11, 105
"c:\laragon\www\bazrasi\app\FileType.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 37, 13, 88
"c:\laragon\www\bazrasi\app\Http\Controllers\AppBaseController.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 36
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 40
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 47
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 32, 11, 80
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 42
"c:\laragon\www\bazrasi\app\Http\Controllers\Controller.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\bazrasi\app\Http\Controllers\CustomFieldController.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 48, 31, 162
"c:\laragon\www\bazrasi\app\Http\Controllers\DocumentController.php", "PHP", 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 56, 38, 357
"c:\laragon\www\bazrasi\app\Http\Controllers\FileTypeController.php", "PHP", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 48, 31, 159
"c:\laragon\www\bazrasi\app\Http\Controllers\HomeController.php", "PHP", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 177
"c:\laragon\www\bazrasi\app\Http\Controllers\ReportController.php", "PHP", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 110
"c:\laragon\www\bazrasi\app\Http\Controllers\SettingController.php", "PHP", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 48, 31, 165
"c:\laragon\www\bazrasi\app\Http\Controllers\TagController.php", "PHP", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 53, 30, 191
"c:\laragon\www\bazrasi\app\Http\Controllers\UserController.php", "PHP", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 58, 34, 232
"c:\laragon\www\bazrasi\app\Http\Kernel.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 27, 8, 84
"c:\laragon\www\bazrasi\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\laragon\www\bazrasi\app\Http\Middleware\CheckBlock.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 25
"c:\laragon\www\bazrasi\app\Http\Middleware\CheckForMaintenanceMode.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\bazrasi\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\bazrasi\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 27
"c:\laragon\www\bazrasi\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\laragon\www\bazrasi\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\laragon\www\bazrasi\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 25
"c:\laragon\www\bazrasi\app\Http\Requests\CreateCustomFieldRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 31
"c:\laragon\www\bazrasi\app\Http\Requests\CreateDocumentRequest.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 49
"c:\laragon\www\bazrasi\app\Http\Requests\CreateFileTypeRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 31
"c:\laragon\www\bazrasi\app\Http\Requests\CreateFilesRequest.php", "PHP", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 80
"c:\laragon\www\bazrasi\app\Http\Requests\CreateSettingRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 31
"c:\laragon\www\bazrasi\app\Http\Requests\CreateTagRequest.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 38
"c:\laragon\www\bazrasi\app\Http\Requests\CreateUserRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 31
"c:\laragon\www\bazrasi\app\Http\Requests\UpdateCustomFieldRequest.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 33
"c:\laragon\www\bazrasi\app\Http\Requests\UpdateDocumentRequest.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 49
"c:\laragon\www\bazrasi\app\Http\Requests\UpdateFileTypeRequest.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 33
"c:\laragon\www\bazrasi\app\Http\Requests\UpdateProfileRequest.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 48
"c:\laragon\www\bazrasi\app\Http\Requests\UpdateSettingRequest.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 33
"c:\laragon\www\bazrasi\app\Http\Requests\UpdateTagRequest.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 39
"c:\laragon\www\bazrasi\app\Http\Requests\UpdateUserRequest.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 36
"c:\laragon\www\bazrasi\app\Http\helper.php", "PHP", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 52, 15, 170
"c:\laragon\www\bazrasi\app\Observers\FileObserver.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 33, 8, 68
"c:\laragon\www\bazrasi\app\Policies\DocumentPolicy.php", "PHP", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 71, 35, 241
"c:\laragon\www\bazrasi\app\Policies\TagPolicy.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 33, 10, 92
"c:\laragon\www\bazrasi\app\Policies\UserPolicy.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 33, 9, 90
"c:\laragon\www\bazrasi\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 50
"c:\laragon\www\bazrasi\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 37
"c:\laragon\www\bazrasi\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\laragon\www\bazrasi\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 35
"c:\laragon\www\bazrasi\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 74
"c:\laragon\www\bazrasi\app\Repositories\BaseRepository.php", "PHP", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 84, 33, 204
"c:\laragon\www\bazrasi\app\Repositories\CustomFieldRepository.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 50
"c:\laragon\www\bazrasi\app\Repositories\DocumentRepository.php", "PHP", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 26, 22, 192
"c:\laragon\www\bazrasi\app\Repositories\FileTypeRepository.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 45
"c:\laragon\www\bazrasi\app\Repositories\PermissionRepository.php", "PHP", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 24, 20, 202
"c:\laragon\www\bazrasi\app\Repositories\SettingRepository.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 42
"c:\laragon\www\bazrasi\app\Repositories\TagRepository.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 61
"c:\laragon\www\bazrasi\app\Repositories\UserRepository.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 47
"c:\laragon\www\bazrasi\app\Rules\CurrentPassword.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 50
"c:\laragon\www\bazrasi\app\Rules\ValidationRuleSyntaxChecker.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 41
"c:\laragon\www\bazrasi\app\Setting.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 31, 14, 67
"c:\laragon\www\bazrasi\app\Tag.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 41, 11, 87
"c:\laragon\www\bazrasi\app\User.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 83, 14, 145
"c:\laragon\www\bazrasi\bootstrap\app.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\laragon\www\bazrasi\composer.json", "JSON", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 82
"c:\laragon\www\bazrasi\composer.lock", "JSON", 0, 0, 0, 0, 0, 7710, 0, 0, 0, 0, 0, 0, 1, 7711
"c:\laragon\www\bazrasi\config\app.php", "PHP", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 120, 30, 235
"c:\laragon\www\bazrasi\config\auth.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 70, 15, 118
"c:\laragon\www\bazrasi\config\broadcasting.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 60
"c:\laragon\www\bazrasi\config\cache.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 34, 18, 104
"c:\laragon\www\bazrasi\config\constants.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\laragon\www\bazrasi\config\database.php", "PHP", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 45, 22, 148
"c:\laragon\www\bazrasi\config\datatables-buttons.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 47, 10, 91
"c:\laragon\www\bazrasi\config\datatables.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 73, 18, 123
"c:\laragon\www\bazrasi\config\dompdf.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 203, 20, 245
"c:\laragon\www\bazrasi\config\filesystems.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 70
"c:\laragon\www\bazrasi\config\flare.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 28, 7, 48
"c:\laragon\www\bazrasi\config\hashing.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\laragon\www\bazrasi\config\ide-helper.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 138, 29, 198
"c:\laragon\www\bazrasi\config\ignition.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 96, 17, 126
"c:\laragon\www\bazrasi\config\infyom\laravel_generator.php", "PHP", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 66, 75, 215
"c:\laragon\www\bazrasi\config\logging.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16, 101
"c:\laragon\www\bazrasi\config\mail.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 93, 23, 137
"c:\laragon\www\bazrasi\config\permission.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 73, 33, 130
"c:\laragon\www\bazrasi\config\queue.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 89
"c:\laragon\www\bazrasi\config\services.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"c:\laragon\www\bazrasi\config\session.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 145, 33, 200
"c:\laragon\www\bazrasi\config\tinker.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 36
"c:\laragon\www\bazrasi\config\trustedproxy.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 39, 7, 51
"c:\laragon\www\bazrasi\config\view.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\laragon\www\bazrasi\database\factories\CustomFieldFactory.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\laragon\www\bazrasi\database\factories\FileTypeFactory.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"c:\laragon\www\bazrasi\database\factories\SettingFactory.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 15
"c:\laragon\www\bazrasi\database\factories\TagFactory.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"c:\laragon\www\bazrasi\database\factories\UserFactory.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"c:\laragon\www\bazrasi\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 41
"c:\laragon\www\bazrasi\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\laragon\www\bazrasi\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\laragon\www\bazrasi\database\migrations\2019_11_09_055735_create_settings_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\laragon\www\bazrasi\database\migrations\2019_11_11_170438_create_custom_fields_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 35
"c:\laragon\www\bazrasi\database\migrations\2019_11_12_122144_create_file_types_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\laragon\www\bazrasi\database\migrations\2019_11_12_155907_create_tags_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\laragon\www\bazrasi\database\migrations\2019_11_13_150331_create_documents_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 41
"c:\laragon\www\bazrasi\database\migrations\2019_11_14_144921_create_documents_tags_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\laragon\www\bazrasi\database\migrations\2019_11_15_122537_create_files_table.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 42
